"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "PostCSS", "XML", "JavaScript JSX", "MS SQL", "comment", "blank", "total"
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\package.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\testAI\package-lock.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\testAI\test-gemini.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 4, 15
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\README.md", "Markdown", 74, 0, 0, 0, 0, 0, 0, 0, 0, 46, 120
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\TEST_COVERAGE.md", "Markdown", 104, 0, 0, 0, 0, 0, 0, 0, 0, 36, 140
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\package-lock.json", "JSON", 0, 2220, 0, 0, 0, 0, 0, 0, 0, 1, 2221
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\setup-test-images.md", "Markdown", 45, 0, 0, 0, 0, 0, 0, 0, 0, 31, 76
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\admin.test.js", "JavaScript", 0, 0, 162, 0, 0, 0, 0, 0, 34, 51, 247
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\auth.test.js", "JavaScript", 0, 0, 202, 0, 0, 0, 0, 0, 29, 58, 289
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\helpers.js", "JavaScript", 0, 0, 151, 0, 0, 0, 0, 0, 4, 25, 180
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\history.test.js", "JavaScript", 0, 0, 143, 0, 0, 0, 0, 0, 42, 48, 233
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\profile.test.js", "JavaScript", 0, 0, 117, 0, 0, 0, 0, 0, 22, 40, 179
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\security.test.js", "JavaScript", 0, 0, 104, 0, 0, 0, 0, 0, 31, 41, 176
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\setup.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 5, 9, 42
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\upload-house.test.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 0, 18, 13, 117
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\wizard-ai.test.js", "JavaScript", 0, 0, 117, 0, 0, 0, 0, 0, 37, 43, 197
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\wizard-navigation.test.js", "JavaScript", 0, 0, 158, 0, 0, 0, 0, 0, 43, 51, 252
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\tests-e2e\tests\wizard-requirements.test.js", "JavaScript", 0, 0, 118, 0, 0, 0, 0, 0, 32, 39, 189
"Total", "-", 1842, 13114, 5009, 13, 1978, 84, 3771, 67, 723, 2133, 28734
